city,timestamp,aqi,pm25,pm10,no2,o3,co,so2,temperature,humidity,wind_speed,pressure,weather,hour,day_of_week,month,aqi_category,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_lag_6,aqi_lag_12,aqi_lag_24,aqi_roll_mean_3,aqi_roll_std_3,aqi_roll_mean_6,aqi_roll_std_6,aqi_roll_mean_12,aqi_roll_std_12,aqi_roll_mean_24,aqi_roll_std_24,temp_humidity_interaction,wind_aqi_ratio
beijing,2026-02-02 17:50:17.002447,137.0,81.8,101.6,42.5,29.8,0.45,3.5,0.8,46.8,4.4,1021.0,Rain,17,0,2,Unhealthy for Sensitive Groups,143.9,146.7,150.4,182.2,178.6,150.3,142.53333333333333,4.992327446524992,148.61666666666667,7.934082597671269,162.15833333333333,15.89645233911319,161.275,16.264398303469843,37.44,25.37037037037037
beijing,2026-02-02 18:50:17.002447,155.3,89.2,125.1,47.6,32.9,0.48,7.6,2.9,51.7,1.8,1018.0,Clear,18,0,2,Unhealthy,137.0,143.9,146.7,159.6,180.6,138.9,145.4,9.241753080449293,147.9,6.86585755750901,160.05,14.873007887995099,161.95833333333334,15.615012750183894,149.93,55.46428571428572
beijing,2026-02-02 19:50:17.002447,142.4,81.6,120.2,42.3,13.9,0.52,5.6,-0.5,43.2,3.0,1019.0,Clouds,19,0,2,Unhealthy for Sensitive Groups,155.3,137.0,143.9,154.1,182.0,133.4,144.9,9.40265919833288,145.95000000000002,6.398359164661195,156.75,13.922871960783285,162.33333333333334,14.995119979126729,-21.6,35.6
beijing,2026-02-02 20:50:17.002447,137.9,83.9,107.1,41.9,35.8,0.43,4.6,0.0,61.4,3.0,1019.7,Rain,20,0,2,Unhealthy for Sensitive Groups,142.4,155.3,137.0,150.4,166.9,149.6,145.20000000000002,9.03161115194813,143.86666666666667,6.688098882841887,154.33333333333334,14.505568418766554,161.84583333333333,15.604876026329116,0.0,34.475
beijing,2026-02-02 21:50:17.002447,153.3,91.9,119.3,44.5,36.2,0.4,3.8,2.0,49.8,1.8,1019.0,Clouds,21,0,2,Unhealthy,137.9,142.4,155.3,146.7,166.7,135.0,144.53333333333333,7.918543637142309,144.96666666666667,7.711722678278233,153.21666666666667,13.973015118976804,162.60833333333335,14.654214905369493,99.6,54.75000000000001
beijing,2026-02-02 22:50:17.002447,146.5,84.8,117.0,44.9,29.4,0.51,5.6,0.6,53.0,4.2,1019.3,Rain,22,0,2,Unhealthy for Sensitive Groups,153.3,137.9,142.4,143.9,175.8,152.9,145.9,7.717512552629498,145.4,7.712846426579754,150.775,12.102826491812268,162.34166666666667,14.89481720969226,31.799999999999997,28.173076923076923
beijing,2026-02-02 23:50:17.002447,167.4,102.9,134.5,46.8,29.9,0.67,5.2,3.1,48.9,2.9,1018.4,Clouds,23,0,2,Unhealthy,146.5,153.3,137.9,137.0,182.2,171.5,155.73333333333335,10.660362720532955,150.46666666666667,10.553230153212336,149.54166666666666,8.953765925152867,162.17083333333332,14.808472286136578,151.59,42.92307692307693
beijing,2026-02-03 00:50:17.002447,163.0,93.8,133.4,49.5,27.7,0.63,4.3,4.3,51.9,4.0,1020.8,Clear,0,1,2,Unhealthy,167.4,146.5,153.3,155.3,159.6,168.5,158.96666666666667,11.018318080965411,151.75,11.667861843542854,149.82500000000002,9.346182983637792,161.94166666666666,14.748704192650912,223.17,32.6
beijing,2026-02-03 01:50:17.002447,158.8,92.2,128.3,46.1,34.1,0.42,5.2,6.8,47.6,2.9,1018.6,Rain,1,1,2,Unhealthy,163.0,167.4,146.5,142.4,154.1,174.0,163.0666666666667,4.300387579431639,154.48333333333332,10.937534761849655,150.21666666666667,9.6356188963219,161.30833333333334,14.53316796209596,323.68,40.71794871794872
beijing,2026-02-03 02:50:17.002447,173.1,105.0,138.0,51.0,37.1,0.47,4.5,8.9,52.5,3.9,1018.9,Clear,2,1,2,Unhealthy,158.8,163.0,167.4,137.9,150.4,172.0,164.96666666666667,7.3500566891235595,160.35,9.625123375832771,152.10833333333335,11.685146619326392,161.35416666666666,14.570040111152041,467.25,35.326530612244895
beijing,2026-02-03 03:50:17.002447,160.8,102.1,132.8,45.2,19.5,0.5,3.9,10.0,52.0,3.2,1018.9,Clouds,3,1,2,Unhealthy,173.1,158.8,163.0,153.3,146.7,174.2,164.23333333333332,7.743599507550084,161.6,8.992663676575614,153.28333333333333,11.800218282521499,160.79583333333332,14.310819232365734,520.0,38.285714285714285
